//new entry "AgileParry"
//type "PassiveData"
//data "DisplayName" "Agile Parry"
//data "Description" "While you have your kensei weapon equipped if you make an unarmed attack on your turn you gain a +2 to AC until the start of your next turn."
//data "Icon" "Icon_AgileParry"
//data "Conditions" "SpellId('Target_MartialArts') or IsUnarmedAttack()"
//data "StatsFunctors" "ApplyStatus(SELF,AGILEPARRY,100,1)"
//data "StatsFunctorContext" "OnAttack"

new entry "AgileParry"
type "PassiveData"
data "DisplayName" "Agile Parry"
data "Description" "While you have your kensei weapon equipped if you make an unarmed attack on your turn you gain a +2 to AC until the start of your next turn."
data "Icon" "Icon_AgileParry"
data "Conditions" "SpellId('Target_MartialArts')"
data "StatsFunctors" "ApplyStatus(SELF,AGILEPARRY,100,1)"
data "StatsFunctorContext" "OnAttack"

new entry "MAGICAL_KENSEI_DEX"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Magic Kensei Weapons"
data "Description" "You are chanelling your ki into your kensei weapon, making it deal force damage on attack."
data "Icon" "Target_MainHandAttack"
data "StackId" "MAGICAL_KENSEI"
data "StackPriority" "0"
data "Boosts" "UnlockSpell(Target_DeftStrike_Melee,,,,Dexterity);UnlockSpell(Target_DeftStrike_Ranged,,,,Dexterity);RemoveStatus(SELF,MAGICAL_KENSEI_STR)"
data "StatusPropertyFlags" "DisableOverhead;ApplyToDead;IgnoreResting"
data "OnApplyFunctors" "IF(CharacterLevelGreaterThan(6) and HasStatus('KENSEIWEAPON',GetActiveWeapon()):RemoveStatus(SELF,MARTS_STR)"

new entry "MAGICAL_KENSEI_STR"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Magic Kensei Weapons"
data "Description" "You are chanelling your ki into your kensei weapon, making it deal force damage on attack."
data "Icon" "Target_MainHandAttack"
data "StackId" "MAGICAL_KENSEI"
data "StackPriority" "0"
data "Boosts" "UnlockSpell(Target_DeftStrike_Melee,,,,Strength);UnlockSpell(Target_DeftStrike_Ranged,,,,Strength);RemoveStatus(SELF,MAGICAL_KENSEI_DEX)"
data "StatusPropertyFlags" "DisableOverhead;ApplyToDead;IgnoreResting"
data "OnApplyFunctors" "IF(CharacterLevelGreaterThan(6) and HasStatus('KENSEIWEAPON',GetActiveWeapon()):RemoveStatus(SELF,MARTS_DEX)"

new entry "Target_DeftStrike_Melee"
type "SpellData"
data "SpellType" "Target"
data "TargetCeiling" "0"
data "TargetFloor" ".25"
data "TargetRadius" "MeleeMainWeaponRange"
data "SpellRoll" "Attack(AttackType.MeleeSpellAttack)"
